iata,beach,mountain,culture,business,adventure,nightlife,food,nature,budget,luxury
ANE,0,0,0,0,1,0,0,1,1,0
LTT,1,0,1,0,0,1,1,0,0,1
JSY,1,0,1,0,0,1,1,0,0,1
PEV,0,0,0,0,1,0,0,1,1,0
SOB,0,0,1,1,0,1,1,0,0,0
AOT,0,0,0,0,1,0,0,1,1,0
QSR,1,0,1,0,0,1,1,0,0,1
CVU,0,0,0,0,1,0,0,1,1,0
BNX,1,0,1,1,0,1,1,0,0,1
USQ,1,0,1,0,0,1,1,0,0,1
KSY,1,0,1,0,0,1,1,0,0,1
SFQ,1,0,1,0,0,1,1,0,0,1
KCM,1,0,1,0,0,1,1,0,0,1
AJI,1,0,1,0,0,1,1,0,0,1
ADF,1,0,1,0,0,1,1,0,0,1
ISE,1,0,1,1,0,1,1,0,0,1
EDO,1,0,1,0,0,1,1,0,0,1
SZF,1,0,1,0,0,1,1,0,0,1
ILZ,0,0,0,0,1,0,0,1,1,0
GDT,1,0,1,1,0,1,1,1,0,0
MDS,1,0,0,0,0,0,1,1,0,0
SLX,1,0,0,0,0,0,1,1,0,0
AZS,1,0,1,1,0,1,1,1,0,0
JBQ,1,0,1,1,0,1,1,1,0,0
PBR,1,0,1,0,1,0,1,1,1,0
AAZ,1,0,1,0,1,0,1,1,1,0
UTK,1,0,0,0,0,0,1,1,0,0
AHS,1,0,1,0,1,0,1,1,1,0
PEU,1,0,1,0,1,0,1,1,1,0
MIJ,1,0,0,0,0,0,1,1,0,0
CYW,1,0,0,0,0,0,1,1,1,0
CUA,0,0,0,0,0,0,0,0,1,0
GUB,0,0,0,0,0,0,0,0,1,0
JAL,1,0,0,0,0,0,1,1,1,0
CTD,1,0,1,0,1,0,1,1,1,0
ONX,1,0,1,0,1,0,1,1,1,0
JQE,1,0,1,0,1,0,1,1,1,0
PLP,1,0,1,0,1,0,1,1,1,0
TTQ,1,0,1,0,1,0,1,1,1,0
BCL,1,0,1,0,1,0,1,1,1,0
PBP,1,0,1,0,1,0,1,1,1,0
PJM,1,0,1,0,1,0,1,1,1,0
SYQ,1,0,1,1,1,1,1,1,1,0
JEE,1,0,0,0,0,0,1,1,0,0
PAX,1,0,0,0,0,0,1,1,0,0
TND,1,0,0,0,0,0,1,1,0,0
COX,1,0,0,0,1,0,0,1,0,0
ATC,1,0,0,0,1,0,0,1,0,0
TBI,1,0,0,0,1,0,0,1,0,0
CRI,1,0,0,0,1,0,1,1,0,0
PID,1,0,0,0,1,0,0,1,0,0
AIU,1,0,0,0,0,0,1,1,0,0
MGS,1,0,0,0,0,0,1,1,0,0
MHX,1,0,0,0,0,0,1,1,0,0
MUK,1,0,0,0,0,0,1,1,0,0
MOI,1,0,0,0,0,0,1,1,0,0
PYE,1,0,0,0,0,0,1,1,0,0
ICI,1,0,0,0,1,0,1,1,0,0
PTF,1,0,0,0,1,0,1,1,0,0
KDV,1,0,0,0,1,0,1,1,0,0
MNF,1,0,0,0,1,0,1,1,0,0
MFJ,1,0,0,0,1,0,1,1,0,0
NGI,1,0,0,0,1,0,1,1,0,0
LKB,1,0,0,0,1,0,1,1,0,0
LBS,1,0,0,0,1,0,1,1,0,0
TVU,1,0,0,0,1,0,1,1,0,0
KXF,1,0,0,0,1,0,1,1,0,0
RTA,1,0,0,0,1,0,1,1,0,0
SVU,1,0,0,0,1,0,1,1,0,0
EUA,1,0,0,0,0,0,1,1,0,0
HPA,1,0,0,0,0,0,1,1,0,0
NFO,1,0,0,0,0,0,1,1,0,0
NTT,1,0,0,0,0,0,1,1,0,0
VBV,1,0,0,0,1,0,1,1,0,0
IUE,1,0,1,1,0,1,1,1,0,0
FUT,1,0,0,0,0,0,1,1,0,0
MXS,1,0,0,0,0,0,1,1,0,0
APK,1,0,0,0,0,0,1,1,0,0
AHE,1,0,0,0,0,0,1,1,0,0
AUQ,1,0,0,0,0,0,1,1,0,0
UAP,1,0,0,0,0,0,1,1,0,0
UAH,1,0,0,0,0,0,1,1,0,0
MTV,1,0,0,0,0,0,1,1,0,0
SLH,1,0,0,0,0,0,1,1,0,0
TOH,1,0,0,0,0,0,1,1,0,0
EAE,1,0,0,0,0,0,1,1,0,0
CCV,1,0,0,0,0,0,1,1,0,0
LOD,1,0,0,0,0,0,1,1,0,0
SSR,1,0,0,0,0,0,1,1,0,0
PBJ,1,0,0,0,0,0,1,1,0,0
LPM,1,0,0,0,0,0,1,1,0,0
LNB,1,0,0,0,0,0,1,1,0,0
MWF,1,0,0,0,0,0,1,1,0,0
LNE,1,0,0,0,0,0,1,1,0,0
NUS,1,0,0,0,0,0,1,1,0,0
ZGU,1,0,0,0,0,0,1,1,0,0
RCL,1,0,0,0,0,0,1,1,0,0
SON,1,0,1,1,0,1,1,1,0,0
TGH,1,0,0,0,0,0,1,1,0,0
