iata,beach,mountain,culture,business,adventure,nightlife,food,nature,budget,luxury
JCK,1,0,0,0,0,0,1,1,0,0
KAX,0,0,0,0,1,0,0,1,1,0
KNS,1,0,0,0,0,0,0,0,0,0
KFG,1,0,0,0,0,0,1,1,0,0
KRB,1,0,0,0,0,0,1,1,0,0
KWM,1,0,0,0,0,0,1,1,0,0
KUG,1,0,0,0,0,0,1,1,0,0
LNO,0,0,0,0,1,0,0,1,1,0
LEL,1,0,0,0,0,0,1,1,0,0
LDH,1,0,0,0,0,0,0,0,0,0
IRG,1,0,0,0,0,0,1,1,0,0
LSY,0,0,0,0,1,0,0,1,1,0
LHG,0,0,0,0,1,0,0,1,1,0
LRE,1,0,0,0,0,0,1,1,0,0
LER,0,0,0,0,1,0,0,1,1,0
LVO,0,0,0,0,1,0,0,1,1,0
UBB,1,0,0,0,0,0,1,1,0,0
MKR,0,0,0,0,1,0,0,1,1,0
MIM,0,0,0,0,1,0,0,1,1,0
MGT,1,0,0,0,0,0,1,1,0,0
MNG,1,0,0,0,0,0,1,1,0,0
MCV,1,0,0,0,0,0,1,1,0,0
MQL,0,0,0,0,1,0,0,1,1,0
MMG,0,0,0,0,1,0,0,1,1,0
MRZ,0,0,0,0,1,0,0,1,1,0
MOV,1,0,0,0,0,0,1,1,0,0
MYA,0,0,0,0,1,0,0,1,1,0
MGB,0,0,0,0,1,0,0,1,1,0
ONG,1,0,0,0,0,0,1,1,0,0
MYI,1,0,0,0,0,0,1,1,0,0
MBH,0,0,0,0,1,0,0,1,1,0
NRA,0,0,0,0,1,0,0,1,1,0
NAA,0,0,0,0,1,0,0,1,1,0
NTN,1,0,0,0,0,0,1,1,0,0
ZNE,1,0,0,0,0,0,1,1,0,0
OLP,0,0,0,0,1,0,0,1,1,0
PUG,0,0,0,0,1,0,0,1,1,0
PMK,1,0,0,0,0,0,1,1,0,0
PBO,1,0,0,0,0,0,1,1,0,0
CCK,1,0,0,0,0,0,1,1,0,0
GOV,1,0,0,0,0,0,1,1,0,0
PKE,0,0,0,0,1,0,0,1,1,0
PLO,0,0,0,0,1,0,0,1,1,0
EDR,1,0,0,0,0,0,1,1,0,0
PQQ,0,0,0,0,1,0,0,1,1,0
PTJ,0,0,0,0,1,0,0,1,1,0
ULP,0,0,0,0,1,0,0,1,1,0
RAM,1,0,0,0,0,0,1,1,0,0
RMA,0,0,0,0,1,0,0,1,1,0
SGO,0,0,0,0,1,0,0,1,1,0
MJK,1,0,0,0,0,0,0,0,0,0
SBR,1,0,0,0,0,0,1,1,0,0
SRN,0,0,0,0,1,0,0,1,1,0
XTG,0,0,0,0,1,0,0,1,1,0
TCA,1,0,0,0,0,0,1,1,0,0
VCD,1,0,0,0,0,0,1,1,0,0
SYU,1,0,0,0,0,0,1,1,0,0
WNR,0,0,0,0,1,0,0,1,1,0
WYA,0,0,0,0,1,0,0,1,1,0
WUN,0,0,0,0,1,0,0,1,1,0
WOL,0,0,0,0,1,0,0,1,1,0
WIN,1,0,0,0,0,0,1,1,0,0
BWT,0,0,0,0,1,0,0,1,1,0
OKR,1,0,0,0,0,0,1,1,0,0
XMY,1,0,0,0,0,0,1,1,0,0
NAY,0,0,1,0,0,0,0,0,0,0
CIF,0,0,0,0,1,0,0,1,1,0
CIH,0,0,0,0,1,0,0,1,1,0
DAT,0,0,0,0,1,0,0,1,1,0
HET,0,0,1,1,0,1,1,0,0,0
BAV,0,0,0,0,1,0,0,1,1,0
SJW,0,0,1,1,0,1,1,0,0,0
TGO,0,0,0,0,1,0,0,1,1,0
HLH,0,0,0,0,1,0,0,1,1,0
XIL,0,0,0,0,1,0,0,1,1,0
BHY,1,0,1,0,1,1,1,1,1,0
CGD,0,0,0,0,1,0,0,1,1,0
DYG,0,0,0,0,1,0,0,1,1,0
MXZ,1,0,1,0,1,1,1,0,1,0
ZUH,1,0,1,0,1,1,1,1,1,0
LZH,1,0,1,0,1,1,1,0,1,0
ZHA,1,0,1,0,1,1,1,1,1,0
ENH,0,0,0,0,1,0,0,1,1,0
NNY,0,0,0,0,1,0,0,1,1,0
XFN,0,0,0,0,1,0,0,1,1,0
YIH,0,0,0,0,1,0,0,1,1,0
AKA,0,0,0,0,1,0,0,1,1,0
GOQ,0,0,0,0,1,0,0,1,1,0
HZG,0,0,0,0,1,0,0,1,1,0
IQN,0,0,0,0,1,0,0,1,1,0
XNN,0,0,0,0,1,0,0,1,1,0
ENY,0,0,0,0,1,0,0,1,1,0
UYN,0,0,0,0,1,0,0,1,1,0
AVK,0,0,0,0,1,0,0,1,1,0
LTI,0,0,0,0,1,0,0,1,1,0
BYN,1,0,0,0,0,0,0,0,0,0
DLZ,0,0,0,0,1,0,0,1,1,0
HVD,0,0,0,0,1,0,0,1,1,0
MXV,0,0,0,0,1,0,0,1,1,0
DIG,0,0,0,0,1,0,0,1,1,0
LUM,1,0,1,0,1,1,1,0,1,0
SYM,1,0,1,0,1,1,1,1,1,0
ZAT,0,0,0,0,1,0,0,1,1,0
KOW,0,0,0,0,1,0,0,1,1,0
JDZ,0,0,0,0,1,0,0,1,1,0
JIU,0,0,0,0,1,0,0,1,1,0
JUZ,0,0,0,0,1,0,0,1,1,0
LYG,0,0,0,0,1,0,0,1,1,0
HYN,0,0,0,0,1,0,0,1,1,0
LYI,0,0,0,0,1,0,0,1,1,0
JJN,1,0,1,1,1,1,1,0,1,0
TXN,0,0,1,1,0,1,1,0,0,0
WEF,0,0,0,0,1,0,0,1,1,0
WEH,0,0,0,0,1,0,0,1,1,0
WUX,0,0,1,1,0,1,1,0,0,0
WUS,0,0,0,0,1,0,0,1,1,0
WNZ,0,0,1,1,0,1,1,0,0,0
YNZ,0,0,0,0,1,0,0,1,1,0
YIW,0,0,0,0,1,0,0,1,1,0
HSN,0,0,0,0,1,0,0,1,1,0
BPX,0,0,0,0,1,0,0,1,1,0
DAX,0,0,0,0,1,0,0,1,1,0
GYS,0,0,0,0,1,0,0,1,1,0
LZO,0,0,0,0,1,0,0,1,1,0
MIG,0,0,0,0,1,0,0,1,1,0
NAO,0,0,0,0,1,0,0,1,1,0
LZY,0,1,1,0,0,0,1,0,1,0
WXN,0,0,0,0,1,0,0,1,1,0
AKU,0,0,0,0,1,0,0,1,1,0
IQM,0,0,0,0,1,0,0,1,1,0
KCA,0,0,0,0,1,0,0,1,1,0
KRL,0,0,0,0,1,0,0,1,1,0
KRY,0,0,0,0,1,0,0,1,1,0
YIN,0,0,0,0,1,0,0,1,1,0
HEK,0,0,0,0,1,0,0,1,1,0
JMU,0,0,0,0,1,0,0,1,1,0
JNZ,0,0,0,0,1,0,0,1,1,0
NDG,0,0,0,0,1,0,0,1,1,0
YNJ,0,0,0,0,1,0,0,1,1,0
WKL,1,0,0,0,0,0,1,1,0,0
WME,0,0,0,0,1,0,0,1,1,0
LRV,1,0,1,0,1,0,1,1,1,0
IOR,0,0,1,0,0,0,0,0,0,0
NNR,0,0,0,0,1,0,0,1,1,0
GTI,0,0,0,0,1,0,0,1,1,0
EZV,0,0,1,0,1,0,0,1,0,0
ORH,0,0,0,0,1,0,0,1,1,0
AQG,0,0,0,0,1,0,0,1,1,0
SHP,0,0,0,0,1,0,0,1,1,0
YCU,0,0,0,0,1,0,0,1,1,0
JGN,0,0,0,0,1,0,0,1,1,0
DDG,0,0,0,0,1,0,0,1,1,0
DSN,0,0,0,0,1,0,0,1,1,0
PZI,0,0,0,0,1,0,0,1,1,0
PWT,0,0,0,0,1,0,0,1,1,0
SPW,0,0,0,0,1,0,0,1,1,0
JEF,0,0,1,1,0,1,1,0,0,0
UNT,0,0,1,0,1,0,0,1,0,0
PVC,0,0,0,0,1,0,0,1,1,0
SBH,1,0,1,0,1,0,1,1,1,0
KMW,0,0,0,0,1,0,0,1,1,0
SUI,1,0,1,0,0,1,1,0,0,1
TBW,0,0,0,0,1,0,0,1,1,0
OBN,0,0,0,0,1,0,0,1,1,0
ERM,0,0,1,0,1,0,1,1,1,0
CVF,0,0,0,0,1,0,0,1,1,0
FUL,0,0,0,0,1,0,0,1,1,0
USA,0,0,0,0,1,0,0,1,1,0
NVI,0,0,0,0,1,0,0,1,1,0
QSF,1,0,1,0,0,1,1,0,0,1
LRH,0,0,0,0,1,0,0,1,1,0
SUN,0,0,0,0,1,0,0,1,1,0
MCW,0,0,1,1,0,1,1,0,0,0
AZA,0,0,0,0,1,0,0,1,1,0
XAU,1,0,1,0,1,0,1,1,1,0
AKP,0,0,1,0,1,0,0,1,0,0
ANV,0,0,1,0,1,0,0,1,0,0
ATK,0,0,1,0,1,0,0,1,0,0
GAM,0,0,1,0,1,0,0,1,0,0
HPB,1,0,1,0,1,0,0,1,0,0
KAL,0,0,1,0,1,0,0,1,0,0
KSM,0,0,1,0,1,0,0,1,0,0
KVL,0,0,1,0,1,0,0,1,0,0
MYU,0,0,1,0,1,0,0,1,0,0
RBY,0,0,1,0,1,0,0,1,0,0
SHH,0,0,1,0,1,0,0,1,0,0
SVA,0,0,1,0,1,0,0,1,0,0
WTK,0,0,1,0,1,0,0,1,0,0
OMC,1,0,1,1,1,1,1,1,1,0
YPX,0,0,1,0,1,0,0,1,0,0
YTQ,0,0,0,0,1,0,0,1,1,0
ARC,0,0,1,0,1,0,0,1,0,0
QOW,1,0,1,1,0,1,1,1,0,0
FON,1,0,1,0,1,0,1,1,1,0
TMU,1,0,1,0,1,0,1,1,1,0
CYZ,1,0,1,0,1,1,1,1,1,0
KVK,0,0,1,0,1,0,0,1,0,0
GVR,1,0,1,0,1,0,1,1,1,0
KPC,1,0,1,0,1,0,0,1,0,0
PJA,0,0,1,0,1,0,0,1,0,0
QBC,0,0,0,0,1,0,0,1,1,0
HGR,0,0,0,0,1,0,0,1,1,0
ACR,1,0,1,0,1,0,1,1,1,0
GOP,0,1,1,0,0,0,1,0,1,0
SDP,0,0,0,0,1,0,0,1,1,0
HMI,0,0,0,0,1,0,0,1,1,0
WUZ,1,0,1,0,1,1,1,1,1,0
TBH,1,0,1,0,1,1,1,1,1,0
ACP,0,0,0,0,1,0,0,1,1,0
GBT,0,0,0,0,1,0,0,1,1,0
IIL,0,0,0,0,1,0,0,1,1,0
PFQ,0,0,0,0,1,0,0,1,1,0
TCG,0,0,0,0,1,0,0,1,1,0
MQM,1,0,1,0,0,1,1,0,0,1
AFS,0,0,0,0,1,0,0,1,1,0
DRG,0,0,1,0,1,0,0,1,0,0
LEN,0,0,0,0,1,0,0,1,1,0
RGS,1,0,1,0,0,1,1,0,0,1
EGM,1,0,0,0,0,0,1,1,0,0
CQD,0,0,0,0,1,0,0,1,1,0
DHM,0,1,1,0,0,0,1,0,1,0
NDC,1,1,1,0,0,0,1,1,1,0
SLV,0,1,1,0,0,0,1,0,1,0
IGG,0,0,0,0,1,0,0,1,1,0
KNW,0,0,0,0,1,0,0,1,1,0
KVC,0,0,0,0,1,0,0,1,1,0
PTH,0,0,0,0,1,0,0,1,1,0
TOG,0,0,0,0,1,0,0,1,1,0
EGN,1,0,0,0,0,0,1,1,0,0
LKH,1,0,0,0,0,0,1,1,0,0
WLH,1,0,0,0,0,0,1,1,0,0
CHG,0,0,0,0,1,0,0,1,1,0
UAS,1,0,0,0,0,0,1,1,0,0
BHG,1,0,1,0,1,0,1,1,1,0
YVB,0,0,0,0,1,0,0,1,1,0
SKT,0,1,1,0,0,0,1,0,1,0
PDP,0,0,1,1,1,1,1,1,1,0
WVB,1,0,0,0,0,0,1,1,0,0
MPA,1,0,0,0,1,0,1,1,0,0
AOE,1,0,1,0,0,1,1,0,0,1
CKZ,1,0,1,0,0,1,1,0,0,1
MSR,1,0,1,0,0,1,1,0,0,1
NOP,1,0,1,0,0,1,1,0,0,1
TEQ,1,0,1,0,0,1,1,0,0,1
YEI,1,0,1,0,0,1,1,0,0,1
LSS,1,0,1,0,1,0,1,1,1,0
KMV,1,1,1,0,0,0,1,1,1,0
VQS,1,0,0,0,0,0,1,1,0,0
YIF,0,0,0,0,1,0,0,1,1,0
HDM,0,0,0,0,1,0,0,1,1,0
MRQ,1,0,1,0,1,1,1,1,1,0
GFN,0,0,0,0,1,0,0,1,1,0
OAG,0,0,0,0,1,0,0,1,1,0
TRO,0,0,0,0,1,0,0,1,1,0
COQ,0,0,0,0,1,0,0,1,1,0
HOH,0,1,0,0,1,0,0,1,0,1
ESC,0,0,0,0,1,0,0,1,1,0
YAK,0,0,0,0,1,0,0,1,1,0
GUL,0,0,0,0,1,0,0,1,1,0
CES,0,0,0,0,1,0,0,1,1,0
NSO,0,0,0,0,1,0,0,1,1,0
DGE,0,0,0,0,1,0,0,1,1,0
MTL,0,0,0,0,1,0,0,1,1,0
CPX,1,0,0,0,0,0,1,1,0,0
MWA,0,0,0,0,1,0,0,1,1,0
OCN,1,0,0,0,0,0,0,0,0,0
KIK,1,0,1,0,0,1,1,0,0,1
XJD,0,0,0,0,1,0,0,1,1,0
GBZ,1,0,1,0,1,0,0,1,0,0
IMT,0,0,0,0,1,0,0,1,1,0
AET,0,0,1,0,1,0,0,1,0,0
MGC,0,0,1,1,0,1,1,0,0,0
SWD,0,0,1,0,1,0,0,1,0,0
GRM,0,0,0,0,1,0,0,1,1,0
AUW,0,0,0,1,0,0,0,0,0,0
MYP,0,0,0,0,1,0,0,1,1,0
MVA,1,0,1,0,1,0,0,1,0,0
QSA,1,0,1,0,0,1,1,0,0,1
WSY,1,0,0,0,0,0,1,1,0,0
MIE,0,0,0,0,1,0,0,1,1,0
LAF,0,0,0,0,1,0,0,1,1,0
VGT,0,0,0,0,0,1,0,0,0,0
ENW,0,0,0,0,1,0,0,1,1,0
MTJ,0,1,0,0,0,0,0,0,0,0
RIW,0,0,0,0,1,0,0,1,1,0
PDT,0,0,0,0,1,0,0,1,1,0
LYM,0,0,0,0,1,0,0,1,1,0
PKH,1,0,1,0,0,1,1,0,0,1
KTR,1,0,0,0,0,0,1,1,0,0
NOA,0,0,0,0,1,0,0,1,1,0
UCK,0,0,0,0,1,0,0,1,1,0
CEJ,0,0,0,0,1,0,0,1,1,0
BQT,0,0,0,0,1,0,0,1,1,0
OSH,0,0,0,0,1,0,0,1,1,0
AGE,0,0,0,0,1,0,0,1,1,0
BXG,0,0,0,0,1,0,0,1,1,0
EAT,0,0,0,0,1,0,0,1,1,0
ARE,1,0,0,0,0,0,1,1,0,0
RIN,1,0,0,0,0,0,1,1,0,0
KCK,0,0,0,0,1,0,0,1,1,0
UKX,0,0,0,0,1,0,0,1,1,0
RMT,1,0,0,0,0,0,1,1,0,0
QLS,0,1,0,0,1,0,0,1,0,1
ZJI,0,1,0,0,1,0,0,1,0,1
QNC,0,1,0,0,1,0,0,1,0,1
TGK,0,0,0,0,1,0,0,1,1,0
GDZ,1,0,1,0,0,1,1,0,0,1
ZIA,0,0,1,1,0,1,1,0,0,0
IAR,0,0,0,0,1,0,0,1,1,0
OHE,0,0,0,0,1,0,0,1,1,0
JNG,0,0,0,0,1,0,0,1,1,0
DRK,1,0,1,0,1,0,1,1,1,0
AAT,0,0,0,0,1,0,0,1,1,0
TZL,1,0,1,1,0,1,1,0,0,1
FWH,0,0,0,0,1,0,0,1,1,0
NYT,1,0,1,0,1,1,1,1,1,0
VBP,1,0,1,0,1,1,1,1,1,0
NZH,0,0,0,0,1,0,0,1,1,0
WUA,0,0,0,0,1,0,0,1,1,0
GYY,0,0,1,1,0,1,1,0,0,0
BRD,0,0,0,0,1,0,0,1,1,0
LWB,0,0,0,0,1,0,0,1,1,0
PGV,0,0,0,0,1,0,0,1,1,0
CYF,0,0,1,0,1,0,0,1,0,0
OXR,0,0,0,0,1,0,0,1,1,0
BKG,0,0,0,0,1,0,0,1,1,0
TEN,0,0,0,0,1,0,0,1,1,0
JGS,0,0,0,0,1,0,0,1,1,0
NIU,1,0,0,0,0,0,1,1,0,0
SCH,0,0,0,0,1,0,0,1,1,0
NBC,0,0,0,0,1,0,0,1,1,0
QRW,1,0,0,0,0,0,1,1,0,0
IAO,1,0,1,0,1,1,1,1,1,0
LGO,0,0,0,0,1,0,0,1,1,0
NLP,0,0,0,0,1,0,1,1,0,0
CKC,0,0,1,1,0,1,1,0,0,0
UST,0,0,0,0,1,0,0,1,1,0
NLV,0,0,1,1,0,1,1,0,0,0
RHP,0,1,1,0,1,0,1,1,1,1
STS,0,0,0,0,1,0,0,1,1,0
ISM,0,0,0,0,1,0,0,1,1,0
LCQ,0,0,1,1,0,1,1,0,0,0
LGU,0,0,0,0,1,0,0,1,1,0
BMC,0,0,1,1,0,1,1,0,0,0
ASE,0,0,0,0,0,0,0,0,0,1
ULV,0,0,0,0,1,0,0,1,1,0
ERV,0,0,0,0,1,0,0,1,1,0
GED,0,0,0,0,1,0,0,1,1,0
ZSW,0,0,0,0,1,0,0,1,1,0
GBD,0,0,0,0,1,0,0,1,1,0
HYS,0,0,0,0,1,0,0,1,1,0
SUS,0,0,0,0,1,0,0,1,1,0
LYU,0,0,0,0,1,0,0,1,1,0
GPZ,0,0,0,0,1,0,0,1,1,0
TVF,0,0,0,0,1,0,0,1,1,0
EGV,0,0,0,0,1,0,0,1,1,0
ARV,0,0,0,0,1,0,0,1,1,0
YBV,0,0,0,0,1,0,0,1,1,0
AVX,1,0,0,0,0,0,0,0,0,0
MHV,0,0,0,0,1,0,0,1,1,0
ZIN,0,1,0,0,1,0,0,1,0,1
INQ,0,0,1,0,0,0,0,0,0,0
SWT,0,0,1,0,1,0,0,1,0,0
HUT,0,0,0,0,1,0,0,1,1,0
OAI,0,1,1,0,0,0,1,0,1,0
AKH,0,0,0,0,1,0,0,1,1,0
STJ,0,0,0,0,1,0,0,1,1,0
VOK,0,0,0,0,1,0,0,1,1,0
GUC,0,0,0,0,1,0,0,1,1,0
SIA,0,0,0,0,1,0,0,1,1,0
TOA,0,0,0,0,1,0,0,1,1,0
MBL,0,0,0,0,1,0,0,1,1,0
PGD,0,0,0,0,1,0,0,1,1,0
WFK,0,0,0,0,1,0,0,1,1,0
JHW,0,0,0,0,1,0,0,1,1,0
YTM,0,1,1,1,0,1,1,0,0,0
SME,0,0,0,0,1,0,0,1,1,0
SHD,0,0,0,0,1,0,0,1,1,0
DVL,0,0,0,0,1,0,0,1,1,0
DIK,0,0,0,0,1,0,0,1,1,0
SDY,0,0,0,0,1,0,0,1,1,0
CDR,0,0,0,0,1,0,0,1,1,0
AIA,0,0,0,0,1,0,0,1,1,0
MCK,0,0,0,0,1,0,0,1,1,0
MTH,0,0,0,0,1,0,0,1,1,0
GDV,0,0,0,0,1,0,0,1,1,0
OLF,0,0,0,0,1,0,0,1,1,0
WYS,0,0,0,0,1,0,0,1,1,0
ALS,0,0,0,0,1,0,0,1,1,0
CNY,0,0,0,0,1,0,0,1,1,0
ELY,0,0,0,0,1,0,0,1,1,0
VEL,0,0,0,0,1,0,0,1,1,0
RUI,0,1,0,0,0,0,0,0,0,0
SOW,0,0,0,0,1,0,0,1,1,0
MYL,0,0,0,0,1,0,0,1,1,0
SMN,0,0,0,0,1,0,0,1,1,0
MMH,0,0,0,0,1,0,0,1,1,0
FRD,0,0,0,0,1,0,0,1,1,0
ESD,1,0,0,0,0,0,0,0,0,0
AST,0,0,0,0,1,0,0,1,1,0
ONP,0,0,0,0,1,0,0,1,1,0
EMK,0,0,1,0,1,0,0,1,0,0
UNK,0,0,1,0,1,0,0,1,0,0
UUK,0,0,1,0,1,0,0,1,0,0
SHX,0,0,1,0,1,0,0,1,0,0
CHU,0,0,1,0,1,0,0,1,0,0
NUI,0,0,1,0,1,0,0,1,0,0
EEK,0,0,1,0,1,0,0,1,0,0
KUK,0,0,1,0,1,0,0,1,0,0
KWT,0,0,1,0,1,0,0,1,0,0
KWK,0,0,0,0,1,0,0,1,1,0
MLL,0,0,1,0,1,0,0,1,0,0
RSH,0,0,1,0,1,0,0,1,0,0
KGK,0,0,0,0,1,0,0,1,1,0
KMO,0,0,0,0,1,0,0,1,1,0
CIK,0,0,1,0,1,0,0,1,0,0
EAA,0,0,1,0,1,0,0,1,0,0
HUS,0,0,1,0,1,0,0,1,0,0
HSL,0,0,1,0,1,0,0,1,0,0
NUL,0,0,1,0,1,0,0,1,0,0
VEE,0,0,1,0,1,0,0,1,0,0
WBQ,0,0,1,0,1,0,0,1,0,0
CEM,0,0,1,1,1,0,0,1,0,0
SHG,0,0,1,0,1,0,0,1,0,0
IYK,0,0,0,0,1,0,0,1,1,0
VIS,0,0,0,0,1,0,0,1,1,0
MCE,0,0,0,0,1,0,0,1,1,0
CYR,0,0,1,1,1,1,1,1,1,0
CPQ,1,0,1,0,1,0,1,1,1,0
GYR,0,0,0,0,1,0,0,1,1,0
TWB,0,0,0,0,1,0,0,1,1,0
BBL,0,0,0,0,1,0,0,1,1,0
AYK,0,0,0,0,1,0,0,1,1,0
AGN,0,0,0,0,1,0,0,1,1,0
ELV,0,0,0,0,1,0,0,1,1,0
FNR,1,0,0,0,0,0,0,0,0,0
HNH,0,0,0,0,1,0,0,1,1,0
MTM,0,0,0,0,1,0,0,1,1,0
HYG,0,0,0,0,1,0,0,1,1,0
EGX,0,0,0,0,1,0,0,1,1,0
KPV,0,0,0,0,1,0,0,1,1,0
PIP,0,0,0,0,1,0,0,1,1,0
WSN,0,0,0,0,1,0,0,1,1,0
AKK,0,0,0,0,1,0,0,1,1,0
KYK,0,0,0,0,1,0,0,1,1,0
KLN,1,0,0,0,0,0,0,0,0,0
ABL,0,0,1,0,1,0,0,1,0,0
BKC,0,0,1,0,1,0,0,1,0,0
IAN,0,0,1,0,1,0,0,1,0,0
OBU,0,0,1,0,1,0,0,1,0,0
ORV,0,0,1,0,1,0,0,1,0,0
WLK,0,0,1,0,1,0,0,1,0,0
KTS,0,0,1,0,1,0,0,1,0,0
ELI,0,0,1,0,1,0,0,1,0,0
GLV,0,0,1,0,1,0,0,1,0,0
TLA,0,0,1,0,1,0,0,1,0,0
WAA,0,0,1,0,1,0,0,1,0,0
WMO,0,0,1,0,1,0,0,1,0,0
KKA,0,0,1,0,1,0,0,1,0,0
SMK,0,0,1,0,1,0,0,1,0,0
SKK,0,0,1,0,1,0,0,1,0,0
TNC,0,0,1,1,1,1,1,1,0,0
AKB,0,0,0,0,1,0,0,1,1,0
IKO,0,0,0,0,1,0,0,1,1,0
CYT,0,0,1,0,1,0,0,1,0,0
AUK,0,0,1,0,1,0,0,1,0,0
KPN,0,0,0,0,1,0,0,1,1,0
KFP,0,0,0,0,1,0,0,1,1,0
NLG,0,0,0,0,1,0,0,1,1,0
PML,1,0,0,0,0,0,0,0,0,0
KLW,0,0,0,0,1,0,0,1,1,0
KWN,0,0,0,0,1,0,0,1,1,0
KOT,0,0,1,0,1,0,0,1,0,0
KYU,0,0,1,0,1,0,0,1,0,0
SCM,1,0,1,0,1,0,0,1,0,0
NNL,0,0,0,0,1,0,0,1,1,0
KKH,0,0,0,0,1,0,0,1,1,0
NIB,0,0,1,0,1,0,0,1,0,0
AKI,0,0,1,0,1,0,0,1,0,0
AIN,0,0,1,0,1,0,0,1,0,0
APZ,0,0,1,0,1,0,1,1,1,0
RDS,0,0,1,0,1,0,1,1,1,0
PNT,0,0,1,0,1,0,1,1,1,0
SGV,0,1,1,0,1,0,1,1,1,0
IGB,0,0,1,0,1,0,1,1,1,0
NCN,1,0,1,0,1,0,0,1,0,0
TKJ,0,0,1,0,1,0,0,1,0,0
IRC,0,0,1,1,1,1,1,1,0,0
SLQ,0,0,1,0,1,0,0,1,0,0
LMA,0,0,1,0,1,0,0,1,0,0
MLY,0,0,1,0,1,0,0,1,0,0
YNP,0,0,0,0,1,0,0,1,1,0
YSO,0,0,0,0,1,0,0,1,1,0
YWB,1,0,1,0,1,0,0,1,0,0
YTF,0,0,0,0,1,0,0,1,1,0
YGV,0,0,0,0,1,0,0,1,1,0
YXK,0,0,0,0,1,0,0,1,1,0
XTL,0,0,0,0,1,0,0,1,1,0
XLB,0,0,0,0,1,0,0,1,1,0
XSI,0,0,0,0,0,0,0,0,1,0
YBT,0,0,0,0,1,0,0,1,1,0
ZGR,0,0,0,0,1,0,0,1,1,0
YCR,0,0,0,0,1,0,0,1,1,0
YRS,0,0,0,0,1,0,0,1,1,0
YOP,0,0,0,0,1,0,0,1,1,0
YBY,0,0,0,0,1,0,0,1,1,0
ZNA,0,0,0,0,1,0,0,1,1,0
YGG,0,0,0,0,1,0,0,1,1,0
YDT,1,0,0,0,0,0,0,0,0,0
YLY,0,0,0,0,1,0,0,1,1,0
YFJ,0,0,1,0,1,0,0,1,0,0
RNI,1,0,1,0,1,0,1,1,1,0
BZA,1,0,1,0,1,0,1,1,1,0
RFS,1,0,1,0,1,0,1,1,1,0
SIU,1,0,1,0,1,0,1,1,1,0
WSP,1,0,1,0,1,0,1,1,1,0
NCR,1,0,1,0,1,0,1,1,1,0
PLD,1,0,1,0,1,0,1,1,1,0
COZ,1,0,0,0,0,0,1,1,0,0
NEG,1,0,0,0,0,0,1,1,0,0
NRR,1,0,0,0,0,0,1,1,0,0
SPB,1,0,0,0,0,0,1,1,0,0
ARR,0,0,1,0,1,0,1,1,1,0
JSM,0,0,1,0,1,0,1,1,1,0
UYU,1,0,1,0,1,0,1,1,1,0
RBQ,1,0,1,0,1,0,1,1,1,0
ABF,1,0,0,0,0,0,1,1,0,0
ABN,1,0,1,0,1,0,1,1,1,0
DRJ,1,0,1,0,1,0,1,1,1,0
MOJ,1,0,1,0,1,0,1,1,1,0
ICK,1,0,1,0,1,0,1,1,1,0
OEM,1,0,1,0,1,0,1,1,1,0
SMZ,1,0,1,0,1,0,1,1,1,0
TOT,1,0,1,0,1,0,1,1,1,0
AGI,1,0,1,0,1,0,1,1,1,0
ORJ,1,0,1,0,1,0,1,1,1,0
NAI,1,0,1,0,1,0,1,1,1,0
IMB,1,0,1,0,1,0,1,1,1,0
KAR,1,0,1,0,1,0,1,1,1,0
USI,1,0,1,0,1,0,1,1,1,0
MHA,1,0,1,0,1,0,1,1,1,0
PJC,1,0,1,1,1,1,1,1,1,0
ACD,1,0,1,0,1,0,1,1,1,0
RVE,1,0,1,0,1,0,1,1,1,0
BQJ,0,0,1,0,1,0,0,1,0,0
VGZ,1,0,1,0,1,0,1,1,1,0
EBG,1,0,1,0,1,0,1,1,1,0
CAQ,1,1,1,0,1,0,1,1,1,0
COG,1,0,1,0,1,0,1,1,1,0
TLU,1,0,1,0,1,0,1,1,1,0
CFB,1,0,1,0,1,0,1,1,1,0
OPS,1,0,1,0,1,0,1,1,1,0
GRP,1,0,1,0,1,0,1,1,1,0
CMP,1,0,1,0,1,0,1,1,1,0
BVS,1,0,1,0,1,0,1,1,1,0
SFK,1,0,1,0,1,0,1,1,1,0
PIN,1,0,1,0,1,0,1,1,1,0
BRA,1,0,1,0,1,0,1,1,1,0
STZ,1,0,1,0,1,0,1,1,1,0
MQH,1,0,1,0,1,0,1,1,1,0
AUX,1,0,1,0,1,0,1,1,1,0
NVP,1,0,1,0,1,0,1,1,1,0
FRC,1,0,1,0,1,0,1,1,1,0
DOU,1,0,1,0,1,0,1,1,1,0
LBR,1,0,1,0,1,0,1,1,1,0
ROO,1,0,1,0,1,0,1,1,1,0
GPB,0,0,1,0,1,0,1,1,1,0
JCB,0,0,1,0,1,0,1,1,1,0
RVD,1,0,1,0,1,0,1,1,1,0
AAX,1,0,1,0,1,0,1,1,1,0
MBZ,1,0,1,0,1,0,1,1,1,0
RBB,1,0,1,0,1,0,1,1,1,0
CIZ,1,0,1,0,1,0,1,1,1,0
BAZ,1,0,1,0,1,0,1,1,1,0
DMT,1,0,1,0,1,0,1,1,1,0
GNM,1,0,1,0,1,0,1,1,1,0
QDJ,1,0,1,0,0,1,1,0,0,1
NZA,1,0,0,0,0,0,1,1,0,0
LBZ,1,0,0,0,0,0,1,1,0,0
KNP,1,0,0,0,0,0,1,1,0,0
